GROUP,PACKAGE,CLASS,BRANCH_COVERED,LINE_COVERED, MUTATION,M_RANK,L_RANK,d,d^2,B_RANK,d,d^2
Apache Commons Collections,org.apache.commons.collections4.keyvalue,TiedMapEntry,17,21,85%,101,105,-4,16,53,48,2304
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntry,19,13,75%,128,160,-32,1024,47,81,6561
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractKeyValue,0,17,60%,162,133,29,841,196,-34,1156
Apache Commons Collections,org.apache.commons.collections4.keyvalue,MultiKey,12,37,94%,68,51,17,289,72,-4,16
Apache Commons Collections,org.apache.commons.collections4.keyvalue,DefaultKeyValue,19,24,75%,128,84,44,1936,47,81,6561
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntryDecorator,2,11,45%,181,178,3,9,157,24,576
Apache Commons Collections,org.apache.commons.collections4.splitmap,TransformedSplitMap,5,23,60%,162,92,70,4900,122,40,1600
Apache Commons Collections,org.apache.commons.collections4.splitmap,AbstractIterableGetMapDecorator,2,18,62%,159,127,32,1024,157,2,4
Apache Commons Collections,org.apache.commons.collections4.collection,AbstractCollectionDecorator,2,24,88%,85,84,1,1,157,-72,5184
Apache Commons Collections,org.apache.commons.collections4.collection,TransformedCollection,7,21,92%,71,105,-34,1156,101,-30,900
Apache Commons Collections,org.apache.commons.collections4.collection,IndexedCollection,28,65,84%,105,31,74,5476,34,71,5041
Apache Commons Collections,org.apache.commons.collections4.collection,UnmodifiableBoundedCollection,9,22,53%,171,97,74,5476,86,85,7225
Apache Commons Collections,org.apache.commons.collections4.collection,PredicatedCollection,8,20,82%,114,116,-2,4,92,22,484
Apache Commons Collections,org.apache.commons.collections4.collection,CompositeCollection,59,100,62%,159,16,143,20449,15,144,20736
Apache Commons Collections,org.apache.commons.collections4.collection,SynchronizedCollection,9,51,78%,123,39,84,7056,86,37,1369
Apache Commons Collections,org.apache.commons.collections4.collection,UnmodifiableCollection,2,14,100%,1,155,-154,23716,157,-156,24336
Apache Commons Collections,org.apache.commons.collections4.comparators,TransformingComparator,13,22,57%,169,97,72,5184,68,101,10201
Apache Commons Collections,org.apache.commons.collections4.comparators,ReverseComparator,6,12,67%,151,168,-17,289,110,41,1681
Apache Commons Collections,org.apache.commons.collections4.comparators,BooleanComparator,13,17,71%,138,133,5,25,68,70,4900
Apache Commons Collections,org.apache.commons.collections4.comparators,ComparableComparator,6,8,71%,138,194,-56,3136,110,28,784
Apache Commons Collections,org.apache.commons.collections4.comparators,FixedOrderComparator,43,57,62%,159,36,123,15129,19,140,19600
Apache Commons Collections,org.apache.commons.collections4.comparators,NullComparator,16,17,43%,183,133,50,2500,57,126,15876
Apache Commons Collections,org.apache.commons.collections4.comparators,ComparatorChain,27,58,50%,173,34,139,19321,35,138,19044
Apache Commons Collections,org.apache.commons.collections4.properties,AbstractPropertiesFactory,2,21,100%,1,105,-104,10816,157,-156,24336
Apache Commons Collections,org.apache.commons.collections4.properties,PropertiesFactory,0,2,100%,1,260,-259,67081,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.properties,SortedPropertiesFactory,0,2,100%,1,260,-259,67081,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.properties,SortedProperties,2,8,100%,1,194,-193,37249,157,-156,24336
Apache Commons Collections,org.apache.commons.collections4.sequence,KeepCommand,0,4,100%,1,236,-235,55225,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.sequence,DeleteCommand,0,4,100%,1,236,-235,55225,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.sequence,SequencesComparator,79,79,95%,66,26,40,1600,10,56,3136
Apache Commons Collections,org.apache.commons.collections4.sequence,ReplacementsFinder,0,0,0%,219,264,-45,2025,196,23,529
Apache Commons Collections,org.apache.commons.collections4.sequence,EditCommand,0,4,100%,1,236,-235,55225,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.sequence,InsertCommand,0,4,100%,1,236,-235,55225,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.sequence,EditScript,2,19,67%,151,121,30,900,157,-6,36
Apache Commons Collections,org.apache.commons.collections4.trie.analyzer,StringKeyAnalyzer,24,36,0%,219,52,167,27889,39,180,32400
Apache Commons Collections,org.apache.commons.collections4.bag,AbstractMapBag,74,163,50%,173,10,163,26569,11,162,26244
