GROUP,PACKAGE,CLASS,BRANCH_COVERED,LINE_COVERED,MUTATION,M_RANK,L_RANK ,d,d^2,B_RANK,d,d^2
Apache Commons Email,org.apache.commons.mail,DefaultAuthenticator,0,4,100%,1,17,-16,256,15,-14,196
Apache Commons Email,org.apache.commons.mail,MultiPartEmail,21,80,65%,13,4,9,81,5,8,64
Apache Commons Email,org.apache.commons.mail,ImageHtmlEmail,8,37,73%,9,6,3,9,9,0,0
Apache Commons Email,org.apache.commons.mail,EmailException,0,6,0%,17,15,2,4,15,2,4
Apache Commons Email,org.apache.commons.mail,EmailAttachment,0,20,100%,1,9,-8,64,15,-14,196
Apache Commons Email,org.apache.commons.mail,HtmlEmail,35,81,56%,14,3,11,121,4,10,100
Apache Commons Email,org.apache.commons.mail,ByteArrayDataSource,0,0,0%,17,18,-1,1,15,2,4
Apache Commons Email,org.apache.commons.mail,EmailUtils,38,59,70%,11,5,6,36,3,8,64
Apache Commons Email,org.apache.commons.mail,SimpleEmail,2,5,67%,12,16,-4,16,14,-2,4
Apache Commons Email,org.apache.commons.mail,Email,128,280,51%,15,1,14,196,1,14,196
Apache Commons Email,org.apache.commons.mail.util,MimeMessageUtils,3,15,24%,16,11,5,25,12,4,16
Apache Commons Email,org.apache.commons.mail.util,IDNEmailAddressConverter,6,14,81%,8,13,-5,25,11,-3,9
Apache Commons Email,org.apache.commons.mail.util,MimeMessageParser,46,88,85%,7,2,5,25,2,5,25
Apache Commons Email,org.apache.commons.mail.resolver,DataSourceClassPathResolver,9,23,73%,9,7,2,4,6,3,9
Apache Commons Email,org.apache.commons.mail.resolver,DataSourceFileResolver,8,15,100%,1,11,-10,100,9,-8,64
Apache Commons Email,org.apache.commons.mail.resolver,DataSourceBaseResolver,3,10,100%,1,14,-13,169,12,-11,121
Apache Commons Email,org.apache.commons.mail.resolver,DataSourceUrlResolver,9,20,93%,5,9,-4,16,6,-1,1
Apache Commons Email,org.apache.commons.mail.resolver,DataSourceCompositeResolver,9,22,93%,5,8,-3,9,6,-1,1
,,,,,,,,,,,,
,,,,,,,,sum of d^2,1157,,sum of d^2,1074
,,,,,,,,numerator,6942,,numerator,6444
,,,,,,,,,,,,
,,,,,,,,n,18,,n,18
,,,,,,,,n^3,5832,,n^3,5832
,,,,,,,,denominator,5814,,denominator,5814
,,,,,,,,,,,,
,,,,,,,,r,-0.194014448,,r,-0.108359133
