GROUP,PACKAGE,CLASS,BRANCH_COVERED,LINE_COVERED,MUTATION,M_LINK,L_LINK,d,d^2,B_LINK,d,d^2
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConfigurationDynaClass,26,42,81%,141,59,82,6724,40,101,10201
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,DefaultBeanFactory,27,66,100%,1,39,-38,1444,37,-36,1296
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,XMLBeanDeclaration,28,74,89%,121,34,87,7569,36,85,7225
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConstructorArg,11,26,100%,1,90,-89,7921,78,-77,5929
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,CombinedBeanDeclaration,26,41,100%,1,60,-59,3481,40,-39,1521
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,BeanHelper,39,106,90%,116,25,91,8281,25,91,8281
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConfigurationDynaBean,34,61,88%,126,44,82,6724,28,98,9604
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration,27,124,47%,161,19,142,20164,37,124,15376
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationLookup,2,7,100%,1,149,-148,21904,119,-118,13924
Apache Commons Configuration,org.apache.commons.configuration2,ImmutableConfigurationInvocationHandler,2,9,100%,1,141,-140,19600,119,-118,13924
Apache Commons Configuration,org.apache.commons.configuration2,StrictConfigurationComparator,16,19,100%,1,110,-109,11881,61,-60,3600
Apache Commons Configuration,org.apache.commons.configuration2,INIConfiguration,127,220,82%,140,7,133,17689,3,137,18769
Apache Commons Configuration,org.apache.commons.configuration2,AbstractYAMLBasedConfiguration,19,50,81%,141,49,92,8464,54,87,7569
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationUtils,33,97,89%,121,29,92,8464,30,91,8281
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationConverter,6,24,100%,1,94,-93,8649,99,-98,9604
Apache Commons Configuration,org.apache.commons.configuration2,XMLDocumentHelper,4,58,100%,1,46,-45,2025,109,-108,11664
Apache Commons Configuration,org.apache.commons.configuration2,XMLListReference,19,38,85%,135,63,72,5184,54,81,6561
Apache Commons Configuration,org.apache.commons.configuration2,HierarchicalConfigurationXMLReader,0,13,100%,1,130,-129,16641,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfigurationLayout,80,174,95%,97,11,86,7396,9,88,7744
Apache Commons Configuration,org.apache.commons.configuration2,XMLPropertiesConfiguration,20,82,74%,149,32,117,13689,48,101,10201
Apache Commons Configuration,org.apache.commons.configuration2,SubsetConfiguration,20,48,95%,97,51,46,2116,48,49,2401
Apache Commons Configuration,org.apache.commons.configuration2,AbstractHierarchicalConfiguration,51,137,97%,87,15,72,5184,18,69,4761
Apache Commons Configuration,org.apache.commons.configuration2,PatternSubtreeConfigurationWrapper,5,17,8%,172,113,59,3481,107,65,4225
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap,0,10,81%,141,137,4,16,136,5,25
Apache Commons Configuration,org.apache.commons.configuration2,AbstractConfiguration,111,346,96%,92,1,91,8281,5,87,7569
Apache Commons Configuration,org.apache.commons.configuration2,BaseConfiguration,8,35,100%,1,68,-67,4489,89,-88,7744
Apache Commons Configuration,org.apache.commons.configuration2,CombinedConfiguration,67,201,95%,97,10,87,7569,15,82,6724
Apache Commons Configuration,org.apache.commons.configuration2,DataConfiguration,10,135,89%,121,16,105,11025,82,39,1521
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration,74,160,95%,97,12,85,7225,10,87,7569
Apache Commons Configuration,org.apache.commons.configuration2,JSONConfiguration,0,14,40%,163,126,37,1369,136,27,729
Apache Commons Configuration,org.apache.commons.configuration2,SubnodeConfiguration,6,26,100%,1,90,-89,7921,99,-98,9604
Apache Commons Configuration,org.apache.commons.configuration2,YAMLConfiguration,0,21,54%,158,106,52,2704,136,22,484
Apache Commons Configuration,org.apache.commons.configuration2,PrefixedKeysIterator,13,19,100%,1,110,-109,11881,70,-69,4761
Apache Commons Configuration,org.apache.commons.configuration2,SystemConfiguration,5,21,88%,126,106,20,400,107,19,361
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration,18,62,74%,149,43,106,11236,58,91,8281
Apache Commons Configuration,org.apache.commons.configuration2,BaseConfigurationXMLReader,0,13,90%,116,130,-14,196,136,-20,400
Apache Commons Configuration,org.apache.commons.configuration2,MapConfiguration,10,38,94%,103,63,40,1600,82,21,441
Apache Commons Configuration,org.apache.commons.configuration2,HierarchicalConfigurationConverter,16,45,89%,121,53,68,4624,61,60,3600
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration,31,138,93%,107,14,93,8649,32,75,5625
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationXMLReader,13,41,70%,152,60,92,8464,70,82,6724
Apache Commons Configuration,org.apache.commons.configuration2,XMLConfiguration,105,239,89%,121,6,115,13225,7,114,12996
Apache Commons Configuration,org.apache.commons.configuration2,CompositeConfiguration,72,158,86%,134,13,121,14641,12,122,14884
Apache Commons Configuration,org.apache.commons.configuration2,JNDIConfiguration,34,105,85%,135,27,108,11664,28,107,11449
Apache Commons Configuration,org.apache.commons.configuration2,FindNodeVisitor,2,10,100%,1,137,-136,18496,119,-118,13924
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerRegistrationData,11,16,71%,151,117,34,1156,78,73,5329
Apache Commons Configuration,org.apache.commons.configuration2.event,BaseEventSource,20,58,100%,1,46,-45,2025,48,-47,2209
Apache Commons Configuration,org.apache.commons.configuration2.event,ConfigurationErrorEvent,0,13,100%,1,130,-129,16641,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.event,EventType,6,20,100%,1,109,-108,11664,99,-98,9604
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerList,21,45,100%,1,53,-52,2704,46,-45,2025
Apache Commons Configuration,org.apache.commons.configuration2.event,ConfigurationEvent,0,17,100%,1,113,-112,12544,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.event,Event,2,16,100%,1,117,-116,13456,119,-118,13924
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultConversionHandler,46,67,100%,1,38,-37,1369,20,-19,361
Apache Commons Configuration,org.apache.commons.configuration2.convert,DisabledListDelimiterHandler,0,7,100%,1,149,-148,21904,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultListDelimiterHandler,26,44,100%,1,56,-55,3025,40,-39,1521
Apache Commons Configuration,org.apache.commons.configuration2.convert,PropertyConverter,148,211,92%,113,9,104,10816,1,112,12544
Apache Commons Configuration,org.apache.commons.configuration2.convert,ListDelimiterHandler,0,1,100%,1,172,-171,29241,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.convert,AbstractListDelimiterHandler,21,27,96%,92,84,8,64,46,46,2116
Apache Commons Configuration,org.apache.commons.configuration2.convert,LegacyListDelimiterHandler,33,66,87%,130,39,91,8281,30,100,10000
