GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,COMPLEXITY_TOTAL,BRANCH_RANK,LINE_RANK,CC_RANK,d_Branch,d_Line,d^2_Branch,d^2_Line
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils,44,1420,20,250,1,21,5,13,0,7,18,1,142,98,-97,44,9409,1936
Apache Commons Collections,org.apache.commons.collections4.bidimap,TreeBidiMap,151,1852,29,226,0,13,1,13,0,4,14,2,225,148,-146,77,21316,5929
Apache Commons Collections,org.apache.commons.collections4.map,Flat3Map,144,1247,64,226,0,7,0,4,0,4,4,3,319,343,-340,-24,115600,576
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractPatriciaTrie,571,1298,100,196,0,17,0,6,0,6,6,4,179,285,-281,-106,78961,11236
Apache Commons Collections,org.apache.commons.collections4.map,MultiKeyMap,149,1431,109,191,0,37,0,20,0,14,20,5,61,80,-75,-19,5625,361
Apache Commons Collections,org.apache.commons.collections4,MapUtils,79,1014,10,178,0,6,0,3,0,3,3,6,336,375,-369,-39,136161,1521
Apache Commons Collections,org.apache.commons.collections4.list,TreeList.AVLNode,53,1051,14,134,1,24,5,16,0,9,21,7,114,73,-66,41,4356,1681
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap,41,1066,11,125,3,11,3,7,1,7,10,8,248,204,-196,44,38416,1936
Apache Commons Collections,org.apache.commons.collections4,IteratorUtils,249,626,42,100,7,23,5,10,2,9,15,9,127,137,-128,-10,16384,100
Apache Commons Collections,org.apache.commons.collections4.list,AbstractLinkedList,28,782,9,91,5,18,5,13,3,13,18,10,170,98,-88,72,7744,5184
Apache Commons Collections,org.apache.commons.collections4.sequence,SequencesComparator,5,558,3,79,2,24,1,19,1,18,20,11,114,80,-69,34,4761,1156
Apache Commons Collections,org.apache.commons.collections4.bag,AbstractMapBag,15,624,8,74,0,21,1,10,0,7,11,12,142,181,-169,-39,28561,1521
Apache Commons Collections,org.apache.commons.collections4.set,CompositeSet,25,488,6,68,2,65,3,29,1,16,32,13,32,45,-32,-13,1024,169
Apache Commons Collections,org.apache.commons.collections4,ListUtils,48,380,8,66,7,22,7,14,2,12,21,14,133,73,-59,60,3481,3600
Apache Commons Collections,org.apache.commons.collections4.map,StaticBucketMap,40,573,11,63,0,20,0,11,0,7,11,15,155,181,-166,-26,27556,676
Apache Commons Collections,org.apache.commons.collections4.collection,CompositeCollection,46,397,1,59,12,100,6,50,5,21,56,16,17,16,0,1,0,1
Apache Commons Collections,org.apache.commons.collections4,IterableUtils,58,526,3,59,2,51,3,24,0,21,27,17,43,51,-34,-8,1156,64
Apache Commons Collections,org.apache.commons.collections4.map,CompositeMap,17,458,3,49,12,36,9,14,2,12,23,18,63,64,-46,-1,2116,1
Apache Commons Collections,org.apache.commons.collections4.queue,CircularFifoQueue,27,337,4,44,0,14,0,11,0,10,11,19,216,181,-162,35,26244,1225
Apache Commons Collections,org.apache.commons.collections4.comparators,FixedOrderComparator,61,317,21,43,0,22,7,9,0,5,16,20,133,121,-101,12,10201,144
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap,87,347,15,43,3,12,3,6,1,4,9,21,235,224,-203,11,41209,121
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet,14,428,5,43,1,17,2,15,1,9,17,22,179,114,-92,65,8464,4225
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap,10,396,8,42,0,8,0,9,0,6,9,23,291,224,-201,67,40401,4489
Apache Commons Collections,org.apache.commons.collections4.map,AbstractLinkedMap,10,331,0,40,0,2,0,1,0,1,1,24,426,465,-441,-39,194481,1521
Apache Commons Collections,org.apache.commons.collections4.map,MultiValueMap,13,327,5,39,6,57,19,26,0,12,45,25,37,24,1,13,1,169
Apache Commons Collections,org.apache.commons.collections4.iterators,CollatingIterator,79,322,9,39,6,17,10,9,3,4,19,26,179,91,-65,88,4225,7744
Apache Commons Collections,org.apache.commons.collections4.map,ListOrderedMap,22,433,4,38,19,58,18,21,6,12,39,27,35,33,-6,2,36,4
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractPatriciaTrie.PrefixRangeMap,50,265,4,36,0,21,0,10,0,9,10,28,142,204,-176,-62,30976,3844
Apache Commons Collections,org.apache.commons.collections4.set,ListOrderedSet,12,315,4,36,0,2,0,2,0,2,2,29,426,409,-380,17,144400,289
Apache Commons Collections,org.apache.commons.collections4,SetUtils,37,176,1,35,0,2,0,2,0,2,2,30,426,409,-379,17,143641,289
Apache Commons Collections,org.apache.commons.collections4.iterators,PermutationIterator,0,262,0,34,0,8,0,3,0,2,3,31,291,375,-344,-84,118336,7056
Apache Commons Collections,org.apache.commons.collections4.iterators,ListIteratorWrapper,41,253,8,32,0,4,0,2,0,2,2,32,367,409,-377,-42,142129,1764
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceEntry,26,200,11,31,0,4,0,2,0,2,2,33,367,409,-376,-42,141376,1764
Apache Commons Collections,org.apache.commons.collections4.map,LRUMap,203,296,9,31,1,79,3,44,0,6,47,34,27,22,12,5,144,25
Apache Commons Collections,org.apache.commons.collections4.iterators,ObjectGraphIterator,0,195,0,30,0,8,0,4,0,4,4,35,291,343,-308,-52,94864,2704
Apache Commons Collections,org.apache.commons.collections4.iterators,FilterListIterator,68,191,6,30,17,0,6,0,4,0,6,36,467,285,-249,182,62001,33124
Apache Commons Collections,org.apache.commons.collections4.collection,IndexedCollection,8,234,2,28,0,4,0,2,0,2,2,37,367,409,-372,-42,138384,1764
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractPatriciaTrie.RangeEntrySet,7,171,2,28,0,4,0,2,0,2,2,38,367,409,-371,-42,137641,1764
Apache Commons Collections,org.apache.commons.collections4.comparators,ComparatorChain,70,219,15,27,1,19,1,7,1,6,8,39,162,242,-203,-80,41209,6400
Apache Commons Collections,org.apache.commons.collections4.functors,FunctorUtils,10,174,3,27,4,36,11,14,1,7,25,40,63,55,-15,8,225,64
Apache Commons Collections,org.apache.commons.collections4.list,SetUniqueList,34,295,2,26,3,163,8,60,0,27,68,41,11,12,29,-1,841,1
Apache Commons Collections,org.apache.commons.collections4.iterators,SingletonListIterator,0,127,2,26,0,11,0,11,0,9,11,42,248,181,-139,67,19321,4489
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractPatriciaTrie.RangeMap,131,152,25,25,2,19,1,10,1,9,11,43,162,181,-138,-19,19044,361
Apache Commons Collections,org.apache.commons.collections4.bidimap,AbstractDualBidiMap.View,0,119,1,25,1,26,1,10,0,4,11,44,104,181,-137,-77,18769,5929
Apache Commons Collections,org.apache.commons.collections4.trie.analyzer,StringKeyAnalyzer,15,174,10,24,0,7,0,6,0,6,6,45,319,285,-240,34,57600,1156
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractPatriciaTrie.RangeEntryMap,43,134,10,24,3,5,2,4,2,4,6,46,354,285,-239,69,57121,4761
Apache Commons Collections,org.apache.commons.collections4.functors,SwitchTransformer,13,159,2,24,3,20,3,13,3,12,16,47,155,121,-74,34,5476,1156
Apache Commons Collections,org.apache.commons.collections4.functors,InvokerTransformer,45,133,4,24,0,3,0,1,0,1,1,48,399,465,-417,-66,173889,4356
