GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,COMPLEXITY_TOTAL,BRANCH_RANK,LINE_RANK,CC_RANK,d_Branch,d_Line,d^2_Branch,d^2_Line
Apache Commons Configuration,org.apache.commons.configuration2.convert,PropertyConverter,188,1115,28,148,5,42,6,15,2,4,21,1,69,67,-66,2,4356,4
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListParserTokenManager,630,1373,153,145,0,66,3,28,0,16,31,2,41,47,-45,-6,2025,36
Apache Commons Configuration,org.apache.commons.configuration2,INIConfiguration,15,840,5,127,1,11,1,5,1,5,6,3,174,162,-159,12,25281,144
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel,2,1287,7,115,0,17,0,10,0,9,10,4,142,129,-125,13,15625,169
Apache Commons Configuration,org.apache.commons.configuration2,AbstractConfiguration,87,1405,17,111,13,74,7,36,0,25,43,5,36,32,-27,4,729,16
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListParser,631,999,92,110,0,26,1,16,0,11,17,6,108,86,-80,22,6400,484
Apache Commons Configuration,org.apache.commons.configuration2,XMLConfiguration,32,903,1,105,0,41,0,20,0,7,20,7,71,69,-62,2,3844,4
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultConfigurationKey,2,497,5,83,24,106,7,42,0,24,49,8,25,26,-18,-1,324,1
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfigurationLayout,13,663,4,80,7,61,9,25,0,12,34,9,48,43,-34,5,1156,25
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration,43,588,12,74,83,124,68,43,50,35,111,10,19,7,3,12,9,144
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler,65,875,4,74,0,7,0,4,0,3,4,11,199,196,-185,3,34225,9
Apache Commons Configuration,org.apache.commons.configuration2,CompositeConfiguration,17,590,6,72,0,7,0,4,0,4,4,12,199,196,-184,3,33856,9
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilder,25,1019,11,71,0,9,0,4,0,3,4,13,183,196,-183,-13,33489,169
Apache Commons Configuration,org.apache.commons.configuration2.io,FileLocatorUtils,14,504,5,69,3,26,1,14,0,11,15,14,108,96,-82,12,6724,144
Apache Commons Configuration,org.apache.commons.configuration2,CombinedConfiguration,2,715,3,67,0,19,0,10,0,2,10,15,135,129,-114,6,12996,36
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListConfiguration,108,594,21,63,1,31,1,11,0,6,12,16,96,118,-102,-22,10404,484
