GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,COMPLEXITY_TOTAL,BRANCH_RANK,LINE_RANK,CC_RANK,d_Branch,d_Line,d^2_Branch,d^2_Line
Apache Commons Email,org.apache.commons.mail,Email,233,1191,44,128,0,4,0,2,0,2,2,1,18,19,-18,-1,324,1
Apache Commons Email,org.apache.commons.mail.util,MimeMessageParser,21,380,10,46,49,80,19,21,6,17,40,2,4,4,-2,0,4,0
Apache Commons Email,org.apache.commons.mail,EmailUtils,49,249,22,38,3,37,4,8,0,6,12,3,6,9,-6,-3,36,9
Apache Commons Email,org.apache.commons.mail,HtmlEmail,313,326,23,35,14,6,4,3,4,3,7,4,15,17,-13,-2,169,4
Apache Commons Email,org.apache.commons.mail,MultiPartEmail,201,249,13,21,0,20,0,11,0,11,11,5,9,10,-5,-1,25,1
Apache Commons Email,org.apache.commons.mail.resolver,DataSourceClassPathResolver,27,106,5,9,61,81,22,19,3,9,41,6,3,3,3,0,9,0
Apache Commons Email,org.apache.commons.mail.resolver,DataSourceUrlResolver,16,74,5,9,51,0,17,0,9,0,17,7,19,6,1,13,1,169
Apache Commons Email,org.apache.commons.mail.resolver,DataSourceCompositeResolver,12,100,1,9,9,6,6,2,4,2,8,8,15,15,-7,0,49,0
Apache Commons Email,org.apache.commons.mail,ImageHtmlEmail,12,136,4,8,8,59,18,21,0,9,39,9,5,5,4,0,16,0
Apache Commons Email,org.apache.commons.mail.resolver,DataSourceFileResolver,19,67,2,8,0,5,0,3,0,2,3,10,17,18,-8,-1,64,1
Apache Commons Email,org.apache.commons.mail.util,IDNEmailAddressConverter,3,80,2,6,60,280,47,121,13,69,168,11,1,1,10,0,100,0
Apache Commons Email,org.apache.commons.mail.util,MimeMessageUtils,58,46,9,3,14,15,8,3,2,3,11,12,11,10,2,1,4,1
Apache Commons Email,org.apache.commons.mail.resolver,DataSourceBaseResolver,0,35,1,3,1,14,2,9,0,7,11,13,13,10,3,3,9,9
Apache Commons Email,org.apache.commons.mail,SimpleEmail,0,17,0,2,5,88,10,44,0,26,54,14,2,2,12,0,144,0
Apache Commons Email,org.apache.commons.mail,DefaultAuthenticator,0,13,0,0,7,23,6,8,2,5,14,15,7,7,8,0,64,0
Apache Commons Email,org.apache.commons.mail,EmailException,37,13,0,0,6,15,4,7,2,4,11,16,11,10,6,1,36,1
Apache Commons Email,org.apache.commons.mail,EmailAttachment,0,50,0,0,0,10,1,7,0,6,8,17,14,15,2,-1,4,1
Apache Commons Email,org.apache.commons.mail,ByteArrayDataSource,168,0,16,0,5,20,6,7,1,5,13,18,9,8,10,1,100,1
Apache Commons Email,org.apache.commons.mail,HtmlEmail.InlineImage,29,15,4,0,1,22,1,9,0,5,10,19,8,14,5,-6,25,36
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Branch ,,,,,,,Line,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Sum of d^2,1183,,,,,,Sum of d^2,234,,,,,,,,,,,
,Numerator,7098,,,,,,Numerator,1404,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,n,19,,,,,,n,19,,,,,,,,,,,
,n^3,6859,,,,,,n^3,6859,,,,,,,,,,,
,Denominator,6840,,,,,,Denominator,6840,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,r,-0.037719298,,,,,,r,0.794736842,,,,,,,,,,,
